Accuracy,Precision (Class 0),Precision (Class 1),Precision (Class 2),Recall (Class 0),Recall (Class 1),Recall (Class 2),F1 Score (Class 0),F1 Score (Class 1),F1 Score (Class 2),Label Confusion Matrix,Confusion Matrix
0.7527572016460905,0.8212745567800671,0.7385480846504152,0.4,0.9559397657557167,0.8626408010012515,0.09392265193370165,0.8835051546391753,0.795785827680762,0.15212527964205816,
"[[[3909  373]
  [  79 1714]]

 [[1903  976]
  [ 439 2757]]

 [[4836  153]
  [ 984  102]]]",
  
  "[[1714   73    6]
 [ 292 2757  147]
 [  81  903  102]]"

 {
    "input_dim": "feature.shape[1]",
    "layers": [64, 256, 512, 3],
    "activations": ["leaky_relu","softplus","selu"],
    "dropout": 0.2,
    "lr": 0.0001,
    "epochs": 200,
    "batch_size": 256,
    "criterion" : "nn.CrossEntropyLoss()",
    "optimizer" : "Adam"
}
